1,2,3
11,14,19
15,15,19
5,10,17
11,11,20
7,14,18
12,12,18
17,17,24
15,20,21
11,13,19
16,20,22
7,12,18
9,10,17
12,13,20
6,8,17
14,18,22
8,11,17
4,4,15
6,10,18
7,11,18
13,16,19
10,15,19
6,8,17
11,15,18
12,12,18
7,13,19
9,11,18
9,16,18
9,11,20
6,10,16
10,14,17
4,8,15
11,15,19
10,13,16
11,16,18
5,11,16
8,13,17
9,17,19
9,9,16
6,6,16
8,11,17
8,14,17
9,13,17
10,13,18
12,17,20
6,6,17
10,18,19
8,13,19
10,14,19
11,14,19
9,16,19
12,12,18
12,13,19
10,13,19
13,14,20
12,17,21
4,4,16
4,11,17
6,10,16
12,14,17
10,15,18
10,13,18
6,7,15
11,13,18
17,20,22
8,12,21
15,19,21
9,9,17
6,12,16
11,11,18
7,11,18
4,7,16
15,16,20
7,9,16
15,17,21
6,12,17
8,15,18
10,18,19
8,13,18
10,13,18
14,17,19
10,14,19
8,8,16
11,11,17
18,18,22
4,6,14
5,6,17
7,7,18
9,10,18
2,2,14
8,14,18
5,7,15
7,9,17
10,12,17
7,16,17
6,12,17
11,12,17
15,15,20
9,13,20
8,8,16
6,12,18
9.27,12.4,18.05
